Num_Orden;Fecha;Hora_Cobro;Mesa;Propina;Mesero_Fk;Cliente:Fk
1;2014-02-01;18:43;1;0.07;7;1
2;2015-01-30;23:59;17;0.2;5;1
3;2014-04-21;19:12;1;0.09;3;1
4;2015-01-09;22:48;6;0.2;5;1
5;2014-03-25;21:21;2;0.16;9;2
6;2014-06-03;20:38;5;0.06;6;1
7;2014-08-14;16:33;4;0.17;3;1
8;2014-08-31;21:36;6;0.08;9;1
9;2014-11-27;15:50;2;0.13;8;1
10;2014-12-28;17:31;14;0.16;3;1
11;2014-11-12;15:36;9;0.07;1;1
12;2014-07-07;12:57;12;0.17;7;1
13;2014-02-23;19:26;12;0.15;7;1
14;2015-01-24;19:55;4;0.2;5;1
15;2014-09-16;13:40;10;0.17;8;2
16;2014-11-12;15:21;8;0.11;9;1
17;2014-11-06;23:02;2;0.13;1;1
18;2014-08-15;22:48;5;0.06;6;1
19;2014-07-21;15:36;14;0.08;9;2
20;2014-03-31;16:48;12;0.1;1;1
21;2015-01-05;13:40;16;0.07;4;1
22;2014-04-21;23:31;9;0.08;8;2
23;2014-04-20;23:31;17;0.15;2;1
24;2014-07-20;22:48;7;0.13;8;1
25;2014-11-30;18:57;13;0.05;8;1
26;2014-12-22;0:00;13;0.15;4;1
27;2014-03-28;20:38;7;0.05;3;1
28;2014-07-26;22:19;14;0.13;2;2
29;2015-01-27;22:48;3;0.12;2;1
30;2014-06-17;0:00;1;0.15;3;1
31;2014-02-20;17:16;1;0.06;3;1
32;2014-11-29;21:50;16;0.2;5;1
33;2014-10-27;14:38;13;0.05;3;2
34;2014-12-10;18:43;9;0.11;2;1
35;2014-05-28;12:57;7;0.06;9;2
36;2014-04-06;23:45;6;0.17;7;2
37;2014-11-02;14:09;8;0.09;1;2
38;2014-04-06;18:14;11;0.15;6;2
39;2014-07-27;21:36;10;0.14;6;1
40;2014-10-06;0:00;5;0.12;2;2
41;2014-12-05;23:45;16;0.2;5;1
42;2014-11-03;20:09;12;0.13;2;2
43;2014-10-23;21:07;6;0.17;6;1
44;2014-05-20;23:31;3;0.15;7;2
45;2014-03-15;21:36;5;0.12;4;2
