Productos_id;Numero_Orden
1;54
2;56
3;4
4;53
5;36
6;29
7;54
8;28
9;4
10;42
11;53
12;53
13;53
14;53
15;53
16;28
17;8
18;8
19;1
20;46
21;43
22;5
23;23
24;1
25;14
26;9
27;26
28;27
29;42
30;7
31;13
32;49
33;19
34;5
35;20
36;44
37;7
38;4
39;59
40;59
41;17
42;28
43;20
44;15
45;40
46;21
47;12
48;51
49;57
50;14
51;32
52;43
53;42
54;27
55;26
56;17
57;59
58;15
59;9
60;15
61;25
62;19
63;5
64;18
65;14
66;47
67;35
68;58
69;36
70;59
71;28
72;4
73;4
74;56
75;7
76;26
77;18
78;48
79;14
80;33
81;43
82;45
83;7
84;4
85;53
86;46
87;18
88;59
89;53
90;4
91;27
92;20
93;17
94;42
95;56
96;46
97;32
98;45
99;2
100;21
101;32
102;1
103;22
104;27
105;25
106;42
107;9
108;54
109;15
110;42
111;15
112;43
113;49
114;31
115;46
116;48
117;9
118;59
119;15
120;59
121;44
122;42
123;17
124;20
125;27
126;34
127;31
128;3
129;37
130;12
131;55
132;28
133;7
134;27
135;44
136;53
137;46
138;34
139;6
140;8
141;57
142;27
143;4
144;20
145;15
146;57
147;36
148;9
149;4
150;15
151;59
152;59
153;55
154;37
155;52
156;58
157;40
158;10
159;17
160;44
161;25
162;42
163;38
164;14
165;6
166;33
167;1
168;25
169;42
170;2
171;24
172;5
173;33
174;44
175;17
176;17
177;28
178;53
179;15
180;26
181;25
182;59
183;45
184;1
185;23
186;34
187;46
188;51
189;37
190;46
191;12
192;44
193;25
194;56
195;9
196;13
197;2
198;37
199;9
200;42
201;28
202;28
203;47
204;43
205;50
206;3
207;27
208;42
209;56
210;54
211;27
212;8
213;48
214;22
215;24
216;21
217;53
218;20
219;15
220;28
221;20
222;59
223;38
224;14
225;11
226;58
227;28
228;27
229;28
230;53
231;59
232;44
233;10
234;57
235;30
236;45
237;29
238;13
239;38
240;47
241;40
242;26
243;56
244;28
245;17
246;53
247;26
248;28
249;54
250;15
251;41
252;35
253;40
254;12
255;52
256;57
257;17
258;7
259;53
260;9
261;59
262;9
263;51
264;18
265;13
266;38
267;34
268;9
269;4
270;4
271;41
272;47
273;48
274;24
275;28
276;7
277;26
278;44
279;26
280;4
281;9
282;28
283;12
284;11
285;23
286;18
287;5
288;23
289;43
290;23
291;40
292;18
293;26
294;28
295;59
296;54
297;59
298;27
299;5
300;1
301;30
302;36
303;33
304;49
305;28
306;59
307;15
308;42
309;26
310;41
311;23
312;8
313;41
314;57
315;13
316;56
317;63
318;7
319;42
320;49
321;12
322;16
323;21
324;27
325;53
326;56
327;9
328;28
329;53
330;19
331;18
332;19
333;6
334;8
335;46
336;31
337;54
338;59
339;9
340;59
341;59
342;17
343;17
344;53
345;37
346;41
347;16
348;58
349;36
350;39
351;18
352;41
353;41
354;27
355;20
356;54
357;44
358;12
359;51
360;18
361;41
362;27
363;54
364;4
365;44
366;44
367;8
368;50
369;12
370;17
371;27
372;15
373;20
374;4
375;42
376;42
377;26
378;1
379;52
380;31
381;50
382;29
383;6
384;1
385;5
386;10
387;20
388;59
389;28
390;26
391;53
392;44
393;17
394;27
395;26
396;13
397;34
398;2
399;24
400;8
401;14
402;58
403;54
404;17
405;29
406;48
407;51
408;24
409;24
410;42
411;9
412;44
413;9
414;17
415;26
416;59
417;26
418;3
419;52
420;38
421;37
422;51
423;41
424;49
425;57
426;4
427;53
428;20
429;25
430;7
431;27
432;9
433;53
434;24
435;34
436;49
437;29
438;6
439;9
440;17
441;20
442;27
443;7
444;4
445;53
446;54
447;33
448;55
449;45
450;32
451;52
452;34
453;21
454;48
455;7
456;9
457;20
458;44
459;26
460;24
461;6
462;16
463;57
464;23
465;3
466;53
467;15
468;43
469;49
470;22
471;57
472;4
473;54
474;44
475;26
476;42
477;18
478;6
479;50
480;1
481;15
482;53
483;56
484;59
485;38
486;38
487;6
488;56
489;26
490;18
491;57
492;51
493;50
494;30
495;54
496;15
497;42
498;20
499;7
500;10
501;12
502;33
503;3
504;19
505;7
506;20
507;61
508;64
509;58
510;7
511;26
512;25
513;26
514;28
515;4
516;54
517;32
518;14
519;11
520;46
521;46
522;2
523;59
524;53
525;4
526;56
527;42
528;22
529;30
530;58
531;20
532;17
533;4
534;7
535;7
536;28
537;26
538;16
539;47
540;52
541;6
542;21
543;9
544;9
545;26
546;44
547;55
548;34
549;3
550;58
551;41
552;7
553;27
554;44
555;56
556;53
557;56
558;5
559;12
560;10
561;24
562;20
563;17
564;9
565;23
566;43
567;57
568;29
569;31
570;27
571;28
572;26
573;37
574;12
575;29
576;24
577;53
578;44
579;15
580;32
581;19
582;56
583;42
584;30
585;56
586;61
587;69
588;17
589;64
590;22
591;2
592;6
593;16
594;4
595;4
596;9
597;26
598;25
599;17
600;36
601;8
602;52
603;19
604;19
605;10
606;42
607;53
608;42
609;53
610;47
611;13
612;24
613;43
614;4
615;9
616;42
617;56
618;10
619;40
620;1
621;52
622;4
623;28
624;42
625;9
626;35
627;46
628;6
629;1
630;28
631;42
632;7
633;20
634;27
635;26
636;17
637;53
638;26
639;23
640;47
641;11
642;32
643;13
644;31
645;34
646;16
647;3
648;2
649;20
650;20
651;54
652;56
653;20
654;42
655;42
656;59
657;36
658;55
659;47
660;49
661;52
662;5
663;13
664;55
665;53
666;56
667;42
668;25
669;7
670;20
671;25
672;51
673;21
674;35
675;41
676;11
677;29
678;22
679;30
680;36
681;59
682;26
683;7
684;22
685;4
686;53
687;25
688;28
689;25
690;25
691;7
692;27
693;44
694;26
695;42
696;16
697;55
698;38
699;46
700;52
701;18
702;29
703;10
704;30
705;18
706;38
707;65
708;25
709;28
710;26
711;65
712;53
713;62
714;17
715;49
716;58
717;48
718;48
719;49
720;51
721;13
722;51
723;3
724;24
725;53
726;27
727;26
728;44
729;26
730;2
731;55
732;9
733;44
734;17
735;9
736;27
737;15
738;17
739;9
740;44
741;21
742;12
743;57
744;24
745;41
746;23
747;30
748;48
749;27
750;28
751;9
752;27
753;17
754;17
755;4
756;28
757;1
758;38
759;5
760;45
761;45
762;12
763;26
764;20
765;56
766;44
767;16
768;11
769;16
770;49
771;18
772;18
773;16
774;56
775;27
776;26
777;17
778;27
779;59
780;4
781;15
782;25
783;59
784;25
785;47
786;21
787;40
788;6
789;46
790;32
791;12
792;29
793;22
794;54
795;42
796;69
797;50
798;2
799;29
800;21
801;7
802;59
803;26
804;7
805;20
806;20
807;6
808;37
809;16
810;3
811;40
812;57
813;14
814;22
815;17
816;26
817;7
818;7
819;44
820;28
821;20
822;34
823;2
824;10
825;52
826;52
827;16
828;24
829;32
830;53
831;53
832;59
833;9
834;28
835;42
836;29
837;1
838;45
839;50
840;8
841;15
842;59
843;59
844;26
845;27
846;57
847;40
848;47
849;43
850;37
851;7
852;26
853;44
854;4
855;15
